epoch,global_step,train_loss,val_loss,generalization_gap,val_loss_delta,best_val_loss_so_far,best_epoch_so_far
47,25897,2.90710529088974,3.657449448108673,0.7503441572189331,0.0059012770652771,3.651548171043396,46
48,26448,2.8743513584136964,3.6501805901527407,0.7758292317390443,-0.007268857955932351,3.6501805901527407,48
49,26999,2.8485354661941527,3.653362536430359,0.8048270702362061,0.0031819462776181417,3.6501805901527407,48
50,27550,2.8389205932617188,3.6531660079956056,0.8142454147338869,-0.00019652843475315152,3.6501805901527407,48
51,28101,2.8540877223014833,3.6549872875213625,0.8008995652198792,0.001821279525756836,3.6501805901527407,48
52,28652,2.836517035961151,3.6557450175285338,0.8192279815673826,0.0007577300071712756,3.6501805901527407,48
53,29203,2.8548125624656677,3.6515195608139037,0.796706998348236,-0.004225456714630038,3.6501805901527407,48
54,29754,2.8252747654914856,3.6581178665161134,0.8328431010246278,0.00659830570220965,3.6501805901527407,48
55,30305,2.8274761915206907,3.653952169418335,0.826475977897644,-0.004165697097778587,3.6501805901527407,48
56,30856,2.8016809582710267,3.6518717646598815,0.8501908063888548,-0.0020804047584532803,3.6501805901527407,48
57,31407,2.806610441207886,3.6521576404571534,0.8455471992492676,0.00028587579727190615,3.6501805901527407,48
58,31958,2.7805699706077576,3.6509265899658203,0.8703566193580627,-0.0012310504913330966,3.6501805901527407,48
59,32509,2.7904483675956726,3.656431770324707,0.8659834027290345,0.005505180358886808,3.6501805901527407,48
60,33060,2.78145318031311,3.669097602367401,0.887644422054291,0.012665832042694003,3.6501805901527407,48
61,33611,2.7746179342269897,3.6565184354782105,0.8819005012512209,-0.012579166889190585,3.6501805901527407,48
